,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,6,0,4,7,0,0,0,0,0,0,0,0,7,4,0,0,0,0,
,"Five persons","One family household: Couple family with no children",0,0,0,3,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",8,13,3,9,10,4,3,8,7,4,48,18,9,8,8,6,11,11,4,4,10,10,
,,"One family household: One parent family",6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,
,,"One family household: Other family",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Six persons","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,
,,"One family household: Couple family with children",0,0,0,0,0,0,3,4,6,0,13,7,6,6,0,0,3,0,0,3,0,0,
,,"One family household: One parent family",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,3,3,0,4,0,0,0,3,9,3,0,0,0,4,3,4,0,0,4,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,
,"Seven persons","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,
,,"One family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Eight or more persons","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Other family",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data."


"14","HCFMD - In multiple family households, only the family composition of the primary family is recorded. Refer to Census Dictionary for more information."
"19","NPRD - Includes up to three residents who were temporarily absent from Household on Census Night."
"26","No reliance should be placed on small cells."
"27","For details on a classification and associated data quality information click on the blue i-links in the table."
"28","Cells in this table have been randomly adjusted to avoid the release of confidential data."


Table generated using ABS TableBuilder
"Copyright, Commonwealth of Australia"
